jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
883,12,37,0.3181818181818182,0.10810810810810811,37,0.20875052828971674
885,2,8,0.26666666666666666,0.125,8,0.10404730759236569
886,2,16,0.17391304347826086,0.0625,16,0.06459561534990062
887,0,1,0.25,0.0,1,0.05337550047023718
888,6,25,0.25,0.04,25,0.13540058475837882
889,19,112,0.17647058823529413,0.05357142857142857,112,0.12246107061628372
890,26,103,0.2545454545454545,0.05825242718446602,103,0.1891360649800163
891,6,55,0.12903225806451613,0.0,55,0.06696368422523688
894,2685,11681,0.22989390828199863,0.07764746168992381,11681,0.22351881441827712
895,74,239,0.3089430894308943,0.09205020920502092,239,0.26147116659060665
896,1,13,0.15,0.0,13,0.04446484244557773
897,279,588,0.4722689075630252,0.20578231292517007,588,0.43868185501026696
899,2,11,0.2222222222222222,0.0,11,0.08464510203057857
907,2,18,0.16,0.0,18,0.05900834386487541
934,0,2,0.2222222222222222,0.0,2,0.046389263979611135
942,0,1,0.25,0.0,1,0.05337550047023718
943,0,1,0.25,0.0,1,0.05337550047023718
945,2744,6581,0.41681845780206433,0.168211518006382,6581,0.40684209478791145
946,0,4,0.18181818181818182,0.0,4,0.03677143788746509
955,0,2,0.2222222222222222,0.0,2,0.046389263979611135
956,3,9,0.3125,0.1111111111111111,9,0.14166397164215325
974,13,75,0.18292682926829268,0.06666666666666667,75,0.1177573767423144
979,0,2,0.2222222222222222,0.0,2,0.046389263979611135
984,0,5,0.16666666666666666,0.0,5,0.033319217684229845
997,0,2,0.2222222222222222,0.0,2,0.046389263979611135
1001,323,1833,0.1766304347826087,0.05782869612656847,1833,0.1622130121211973
1002,314,2015,0.1562809099901088,0.0456575682382134,2015,0.1431970668637325
1003,468,3006,0.15599070693660802,0.04324683965402528,3006,0.14525059620215816
1004,773,6777,0.11423938679245282,0.03305297329201712,6777,0.10795251589649521
1005,559,1914,0.2920353982300885,0.11598746081504702,1914,0.27509895190972744
1006,843,5700,0.1480637813211845,0.04175438596491228,5700,0.1404020573658223
1007,73,979,0.07606490872210954,0.018386108273748723,979,0.06269015270542955
1008,479,2669,0.179745889387145,0.049456725365305355,2669,0.16767622499960838
1009,1982,11961,0.1657754010695187,0.04481230666332246,11961,0.16021616747314074
1010,377,3174,0.11914492298019491,0.029615626969124134,3174,0.10983638922539711
1011,949,4523,0.2099337748344371,0.06743311961087774,4523,0.20005512435357187
1012,37,432,0.0888382687927107,0.020833333333333332,432,0.06764029313901591
1013,255,1503,0.17019867549668874,0.054557551563539586,1503,0.1545478655222307
1014,6911,19497,0.35444011484823623,0.13520028722367544,19497,0.3488148888806215
1015,1899,10756,0.1766236179503856,0.051785050204537005,10756,0.17061199045437905
1016,55,493,0.114,0.028397565922920892,493,0.09155272397044122
1017,108,891,0.12249443207126949,0.038159371492704826,891,0.10499792190570303
1018,4998,21047,0.23748456350337227,0.07027129757210053,21047,0.2326749396552077
1019,3167,13498,0.23465383191410588,0.07823381241665432,13498,0.22867822059149764
1020,287,2407,0.11971830985915492,0.035313668466971336,2407,0.10903430947331474
1021,10,246,0.04743083003952569,0.0040650406504065045,246,0.02770335862240305
1022,141,1073,0.13240740740740742,0.04193849021435228,1073,0.11584597332119989
1023,223,1500,0.1493032514930325,0.042,1500,0.13447626367905433
1024,13,158,0.09090909090909091,0.012658227848101266,158,0.057226345336216365
