win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.1,1.3,3.0,30.0,74,8,-0.31891891891891894,806400.0,41,2,-0.7170731707317073,872600.0
0.15,1.1,5.0,30.0,59,5,-0.4016949152542373,806300.0,30,1,-0.76,879200.0
0.15,1.0,5.0,20.0,59,5,-0.4016949152542373,806300.0,28,1,-0.7428571428571429,881200.0
0.1,1.75,7.0,30.0,33,1,-0.7212121212121212,806200.0,24,1,-0.7,885200.0
0.15,1.5,3.0,30.0,51,4,-0.4666666666666667,806200.0,24,2,-0.5166666666666667,889600.0
0.12,1.75,7.0,30.0,33,1,-0.7212121212121212,806200.0,24,1,-0.7,885200.0
0.1,2.0,10.0,50.0,24,0,-1.0,806000.0,17,0,-1.0,885000.0
0.12,2.0,10.0,50.0,24,0,-1.0,806000.0,17,0,-1.0,885000.0
0.15,1.1,3.0,15.0,76,9,-0.3157894736842105,806000.0,38,4,-0.4921052631578947,883300.0
0.15,1.0,3.0,15.0,88,12,-0.27386363636363636,805900.0,47,5,-0.5255319148936171,877300.0
0.12,1.1,5.0,20.0,70,6,-0.3442857142857143,805900.0,35,1,-0.7942857142857143,874200.0
0.1,1.1,5.0,20.0,70,6,-0.3442857142857143,805900.0,35,1,-0.7942857142857143,874200.0
0.12,1.3,7.0,30.0,44,2,-0.55,805800.0,25,1,-0.712,884200.0
0.12,1.3,5.0,20.0,62,5,-0.3903225806451613,805800.0,30,1,-0.76,879200.0
0.1,1.3,7.0,30.0,44,2,-0.55,805800.0,25,1,-0.712,884200.0
0.1,1.3,5.0,20.0,62,5,-0.3903225806451613,805800.0,30,1,-0.76,879200.0
0.1,1.0,5.0,20.0,78,7,-0.3141025641025641,805500.0,38,1,-0.8105263157894737,871200.0
